iter	Passed	Remaining
0	45	45535
1	88	44381
2	129	43118
3	170	42424
4	212	42349
5	261	43346
6	301	42722
7	340	42175
8	387	42623
9	428	42460
10	469	42187
11	512	42184
12	552	41980
13	595	41911
14	635	41742
15	678	41743
16	722	41785
17	765	41758
18	809	41785
19	850	41685
20	893	41644
21	935	41573
22	979	41622
23	1023	41611
24	1067	41625
25	1107	41487
26	1147	41361
27	1188	41271
28	1244	41660
29	1282	41483
30	1327	41498
31	1370	41464
32	1417	41550
33	1459	41466
34	1504	41469
35	1547	41440
36	1590	41394
37	1631	41298
38	1670	41164
39	1710	41045
40	1752	40999
41	1796	40978
42	1837	40885
43	1878	40805
44	1918	40706
45	1958	40616
46	2002	40602
47	2043	40521
48	2086	40500
49	2126	40402
50	2163	40257
51	2206	40221
52	2254	40283
53	2293	40181
54	2333	40092
55	2372	39985
56	2410	39874
57	2452	39825
58	2491	39741
59	2533	39687
60	2573	39620
61	2613	39538
62	2651	39442
63	2692	39372
64	2734	39339
65	2779	39338
66	2821	39290
67	2864	39265
68	2906	39217
69	2946	39142
70	2995	39200
71	3038	39165
72	3080	39122
73	3123	39084
74	3161	38990
75	3202	38939
76	3249	38955
77	3291	38905
78	3331	38835
79	3369	38751
80	3413	38725
81	3453	38657
82	3495	38614
83	3537	38574
84	3578	38520
85	3619	38465
86	3658	38388
87	3697	38315
88	3736	38250
89	3779	38210
90	3820	38162
91	3860	38100
92	3898	38024
93	3942	37999
94	3986	37979
95	4029	37947
96	4071	37904
97	4112	37855
98	4156	37823
99	4198	37785
100	4244	37778
101	4284	37719
102	4322	37645
103	4361	37576
104	4401	37513
105	4441	37456
106	4484	37422
107	4523	37361
108	4563	37301
109	4602	37235
110	4639	37159
111	4678	37096
112	4720	37052
113	4759	36989
114	4799	36936
115	4837	36862
116	4875	36794
117	4915	36738
118	4955	36683
119	5003	36691
120	5043	36636
121	5085	36598
122	5128	36563
123	5172	36544
124	5217	36519
125	5254	36449
126	5294	36392
127	5333	36335
128	5375	36296
129	5419	36271
130	5460	36221
131	5498	36156
132	5540	36118
133	5589	36120
134	5630	36077
135	5667	36006
136	5708	35959
137	5748	35905
138	5788	35852
139	5827	35794
140	5867	35745
141	5908	35700
142	5948	35649
143	5994	35631
144	6033	35574
145	6076	35541
146	6115	35483
147	6155	35434
148	6194	35380
149	6242	35373
150	6283	35329
151	6322	35275
152	6366	35247
153	6410	35213
154	6454	35185
155	6495	35144
156	6539	35115
157	6579	35064
158	6619	35011
159	6658	34958
160	6698	34905
161	6740	34865
162	6779	34815
163	6819	34762
164	6860	34720
165	6900	34668
166	6941	34623
167	6987	34604
168	7030	34569
169	7067	34506
170	7104	34444
171	7145	34396
172	7184	34346
173	7230	34326
174	7267	34263
175	7304	34198
176	7344	34150
177	7381	34088
178	7419	34031
179	7460	33985
180	7500	33939
181	7540	33889
182	7585	33867
183	7626	33820
184	7667	33777
185	7707	33730
186	7746	33679
187	7786	33631
188	7825	33580
189	7865	33530
190	7904	33479
191	7942	33426
192	7985	33389
193	8023	33334
194	8062	33284
195	8102	33238
196	8141	33187
197	8187	33164
198	8238	33161
199	8277	33108
200	8316	33058
201	8355	33007
202	8395	32961
203	8435	32913
204	8475	32870
205	8517	32829
206	8557	32783
207	8599	32746
208	8642	32707
209	8684	32671
210	8723	32621
211	8767	32589
212	8807	32542
213	8845	32489
214	8884	32440
215	8926	32398
216	8963	32341
217	9006	32307
218	9046	32260
219	9086	32217
220	9125	32167
221	9171	32140
222	9219	32122
223	9259	32077
224	9297	32024
225	9335	31972
226	9384	31956
227	9421	31901
228	9458	31846
229	9496	31793
230	9536	31747
231	9576	31700
232	9618	31661
233	9661	31626
234	9702	31585
235	9744	31547
236	9783	31497
237	9822	31449
238	9865	31412
239	9905	31365
240	9943	31314
241	9985	31275
242	10027	31236
243	10068	31196
244	10106	31145
245	10144	31093
246	10184	31048
247	10233	31030
248	10270	30977
249	10309	30929
250	10350	30887
251	10387	30831
252	10425	30783
253	10466	30738
254	10501	30682
255	10544	30646
256	10590	30616
257	10627	30565
258	10670	30529
259	10710	30484
260	10752	30444
261	10794	30406
262	10836	30366
263	10875	30319
264	10916	30276
265	10957	30237
266	11000	30200
267	11039	30152
268	11079	30108
269	11120	30067
270	11158	30015
271	11195	29964
272	11235	29921
273	11272	29869
274	11307	29809
275	11344	29758
276	11382	29710
277	11420	29659
278	11463	29625
279	11504	29582
280	11542	29534
281	11583	29493
282	11625	29454
283	11666	29413
284	11708	29374
285	11748	29329
286	11789	29288
287	11832	29253
288	11874	29212
289	11913	29166
290	11952	29120
291	11994	29082
292	12038	29047
293	12079	29006
294	12117	28958
295	12158	28917
296	12207	28896
297	12250	28858
298	12290	28815
299	12329	28768
300	12368	28722
301	12406	28674
302	12444	28626
303	12483	28581
304	12524	28540
305	12562	28492
306	12602	28447
307	12640	28400
308	12680	28357
309	12718	28309
310	12757	28264
311	12800	28225
312	12837	28177
313	12877	28133
314	12914	28083
315	12956	28044
316	13005	28020
317	13046	27979
318	13086	27936
319	13123	27887
320	13164	27846
321	13216	27827
322	13255	27782
323	13295	27739
324	13332	27689
325	13372	27646
326	13411	27602
327	13451	27558
328	13490	27514
329	13531	27472
330	13572	27431
331	13615	27395
332	13653	27347
333	13693	27305
334	13733	27262
335	13774	27220
336	13814	27178
337	13853	27133
338	13892	27088
339	13933	27046
340	13974	27006
341	14015	26965
342	14055	26922
343	14093	26875
344	14132	26832
345	14169	26782
346	14219	26758
347	14257	26712
348	14296	26667
349	14334	26620
350	14375	26579
351	14413	26534
352	14452	26489
353	14496	26453
354	14536	26410
355	14574	26365
356	14618	26330
357	14658	26286
358	14697	26242
359	14737	26199
360	14777	26157
361	14818	26115
362	14856	26070
363	14898	26030
364	14937	25987
365	14979	25948
366	15020	25907
367	15056	25857
368	15094	25812
369	15134	25770
370	15171	25721
371	15227	25705
372	15270	25668
373	15310	25626
374	15348	25580
375	15389	25540
376	15428	25495
377	15463	25445
378	15505	25405
379	15548	25367
380	15593	25333
381	15637	25299
382	15676	25254
383	15715	25210
384	15756	25169
385	15797	25128
386	15837	25086
387	15877	25043
388	15918	25002
389	15962	24967
390	16004	24927
391	16045	24886
392	16083	24840
393	16122	24797
394	16160	24751
395	16205	24716
396	16245	24674
397	16286	24634
398	16323	24587
399	16363	24545
400	16404	24504
401	16442	24459
402	16480	24414
403	16522	24374
404	16566	24337
405	16609	24300
406	16652	24263
407	16694	24222
408	16732	24178
409	16772	24136
410	16809	24090
411	16850	24048
